"","biomarkers","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","LBX074LA","LBX074LA",0.02195654927731,0.00770136081596759,2.85099605147527,0.00444943449577718,0.0068621594460657,0.0370509391085542
"2","LBX099LA","LBX099LA",0.0226635580148751,0.00732279764943514,3.09493162311037,0.00202427668217869,0.00831113835590792,0.0370159776738424
"3","LBX118LA","LBX118LA",0.0242318121235097,0.00655806224354652,3.69496525400548,0.000232051536836967,0.0113782463177867,0.0370853779292329
"4","LBX138LA","LBX138LA",0.0195550466600709,0.00686341551576444,2.84917132223093,0.00447482126197534,0.00610299943823913,0.0330070938819026
"5","LBX153LA","LBX153LA",0.0215278484286343,0.00722340797132929,2.98028970730732,0.00295063415515414,0.00737022895918978,0.0356854678980792
"6","LBX170LA","LBX170LA",0.0188021359695088,0.00874594773018613,2.14981115249687,0.0318136002543684,0.00166039340767386,0.0359438785313433
"7","LBX180LA","LBX180LA",0.0108761413244101,0.00755816210138164,1.43899286341344,0.150470873151405,-0.00393758418361378,0.025689866832434
"8","LBX187LA","LBX187LA",0.0173972908468665,0.00818720149282426,2.1249374236257,0.0338407821214464,0.00135067078675811,0.0334439109069746
"9","LBXD03LA","LBXD03LA",0.0095341835629061,0.00664130604346789,1.4355886478509,0.15143754245173,-0.00348253709259931,0.0225509042184115
"10","LBXD05LA","LBXD05LA",0.00802564949243144,0.00640966936245151,1.25211598892238,0.210825434072876,-0.00453707161078354,0.0205883705956462
"11","LBXD07LA","LBXD07LA",0.00340506123301898,0.00705160655998104,0.482877370434026,0.62929032993636,-0.0104158336576901,0.017225956123728
"12","LBXF03LA","LBXF03LA",0.0279054673727539,0.00633603513106133,4.40424757684061,1.17790942789062e-05,0.0154870667110927,0.0403238680344147
"13","LBXF04LA","LBXF04LA",0.0221099307839292,0.00830776127798098,2.66135846278223,0.00790951994165525,0.00582701788692949,0.0383928436809284
"14","LBXF05LA","LBXF05LA",0.0191077132972699,0.00780315529516986,2.44871626598249,0.0145104201958228,0.00381380995296364,0.0344016166415758
"15","LBXF08LA","LBXF08LA",0.0145665305860236,0.00666070014021916,2.18693685038707,0.0289822016333759,0.00151179819937355,0.027621262972674
"16","LBXPCBLA","LBXPCBLA",0.0201707572493636,0.00532695976167561,3.78654207123555,0.00016201934204976,0.00973010796938546,0.0306114065293422
"17","LBXHXCLA","LBXHXCLA",0.0267662209336846,0.00774345558600658,3.4566248409889,0.000570395822671923,0.0115893268692262,0.0419431149981432
"18","LBX194LA","LBX194LA",0.0101097294477013,0.00945722890567388,1.06899489782213,0.285334398605441,-0.00842609860097057,0.0286455574963732
